Furnace_temperature;Exist_temperature;Annealing_temperature;Thickness;Width;Sulfur_content;Copper_content;Nickel_content;Chromium_content;Molybdenum_content;Vanadium_content;Niobium_content;Total_Al_content;Acid_soluble_Al_content;Titanium_content;Boron_content;Tin_content;Arsenic_content;Zirconium_content;Calcium_content;Lead_content;Ceq;Pcm;Antimony_content;Nitrogen_content;Oxygen_content;Tungsten_content;yield-strength;tensile-strength;elongation
1215;883;692;2.75;1255;0.0316;0.0304;0.0054;0.0119;0.0018;0.0019;0.0009;0.0202;0.0175;0.1009;0.0001;0.0017;0.0026;0.0014;0.0006;0.0001;0.042;0.0169;0.0004;0.008;0.0;0.0;248;337;34.0
1190;833;576;3.75;1500;0.009;0.0096;0.0051;0.0174;0.0027;0.0001;0.0001;0.0309;0.0276;0.0004;0.0004;0.0006;0.0024;0.0003;0.0004;0.0001;0.1881;0.1649;0.0001;0.0;0.0;0.0;343;454;42.5
1184;891;637;3.0;1218;0.0102;0.013;0.0066;0.0184;0.0029;0.0001;0.0001;0.0343;0.0312;0.0001;0.0014;0.0044;0.0021;0.0004;0.0003;0.0015;0.0682;0.0525;0.0001;0.002;0.003;0.0;241;324;48.0
1180;841;524;3.0;1255;0.0095;0.009;0.0048;0.0116;0.0025;0.0001;0.0001;0.0286;0.0273;0.0005;0.0002;0.0019;0.0021;0.0005;0.0003;0.0013;0.1955;0.1589;0.0001;0.003;0.0;0.0;374;478;37.0
1201;870;587;3.2;1230;0.0035;0.0088;0.0031;0.0079;0.002;0.0007;0.0001;0.0355;0.0311;0.0228;0.0014;0.0004;0.0022;0.0006;0.0003;0.0024;0.1875;0.1547;0.0001;0.003;0.0;0.0;398;508;28.0
1224;836;515;2.5;1250;0.0029;0.0151;0.0057;0.0171;0.0001;0.0011;0.0447;0.0352;0.0333;0.0199;0.0001;0.0026;0.0071;0.0062;0.0011;0.0001;0.2873;0.1379;0.0011;0.0;0.0;0.0;582;610;20.0
1121;872;689;2.61;1275;0.0022;0.0071;0.0077;0.0117;0.0008;0.0001;0.0003;0.257;0.2562;0.0001;0.0001;0.0011;0.0019;0.0001;0.0002;0.0001;0.06;0.03;0.0017;0.001;0.001;0.0;229;360;45.5
1208;825;591;3.25;900;0.006;0.0125;0.0049;0.0127;0.0017;0.0004;0.0001;0.031;0.0293;0.0004;0.0001;0.0025;0.0023;0.0;0.0001;0.0001;0.18;0.12;0.0019;0.003;0.0;0.0;337;425;43.0
1210;820;611;4.75;1250;0.0013;0.0113;0.0052;0.0149;0.0042;0.0004;0.0008;0.0267;0.0239;0.0236;0.0002;0.0009;0.0025;0.0015;0.0027;0.0009;0.418;0.2677;0.0004;0.005;0.0;0.0;448;565;33.5
1184;831;434;9.8;950;0.0063;0.0085;0.0056;0.0162;0.0018;0.0008;0.0011;0.0379;0.0361;0.0324;0.0003;0.0011;0.0034;0.0;0.0005;0.0001;0.3;0.2;0.0001;0.004;0.0;0.0;470;584;23.0
